"fyear","act","at","bkvlps","ceq","csho","dltt","emp","lct","ni","oibdp","rdip","sale","xad","xsga","prcc_f","busdesc","conml","gsubind","sic"
"1",2011,91.124,135.063,29.8792,91.759,3.071,1.228,2.134,31.085,17.005,31.097,0,429.483,2.15,134.817,90.01,"Arden Group, Inc., through its subsidiaries, operates supermarkets in Southern California.","Arden Group Inc",30101030,5411
"2",2012,47.312,90.047,15.042,46.194,3.071,1.228,2.088,32.978,18.919,36.528,0,439.038,1.904,136.299,89.97,"Arden Group, Inc., through its subsidiaries, operates supermarkets in Southern California.","Arden Group Inc",30101030,5411
"3",2010,10473,17849,16.8165,6602,392.59,711,180,8663,1277,3328,0,50272,901,10325,32.24,"Best Buy Co., Inc. retails technology products in the United States, Canada, and Mexico. The company operates in two segments, Domestic and International.","Best Buy Co Inc",25504020,5731
"4",2011,10297,16005,10.9695,3745,341.4,1685,167,8855,-1231,3290,0,50705,995,10242,24.7,"Best Buy Co., Inc. retails technology products in the United States, Canada, and Mexico. The company operates in two segments, Domestic and International.","Best Buy Co Inc",25504020,5731
"5",2012,12047,16787,9.0488,3061,338.276,1153,165,10810,-441,2144,0,45085,913,9502,16.26,"Best Buy Co., Inc. retails technology products in the United States, Canada, and Mexico. The company operates in two segments, Domestic and International.","Best Buy Co Inc",25504020,5731
"6",2013,10485,14013,11.4953,3986,346.751,1612,140,7436,532,1786,0,42410,775,8356,23.54,"Best Buy Co., Inc. retails technology products in the United States, Canada, and Mexico. The company operates in two segments, Domestic and International.","Best Buy Co Inc",25504020,5731
"7",2014,11729,15256,14.2118,4995,351.468,1580,125,7777,1233,2111,0,40339,711,7592,35.2,"Best Buy Co., Inc. retails technology products in the United States, Canada, and Mexico. The company operates in two segments, Domestic and International.","Best Buy Co Inc",25504020,5731
"8",2015,9886,13519,13.5216,4378,323.779,1339,125,6925,897,2162,0,39528,742,7599,27.93,"Best Buy Co., Inc. retails technology products in the United States, Canada, and Mexico. The company operates in two segments, Domestic and International.","Best Buy Co Inc",25504020,5731
"9",2016,10516,13856,15.1362,4709,311.108,1321,125,7122,1228,2387,0,39403,743,7524,44.52,"Best Buy Co., Inc. retails technology products in the United States, Canada, and Mexico. The company operates in two segments, Domestic and International.","Best Buy Co Inc",25504020,5731
"10",2017,9829,13049,12.7638,3612,282.988,811,125,7817,1000,2636,0,42151,776,7923,73.06,"Best Buy Co., Inc. retails technology products in the United States, Canada, and Mexico. The company operates in two segments, Domestic and International.","Best Buy Co Inc",25504020,5731
"11",2018,8870,12901,12.4425,3306,265.703,1332,125,7513,1464,2736,0,42879,777,7995,59.24,"Best Buy Co., Inc. retails technology products in the United States, Canada, and Mexico. The company operates in two segments, Domestic and International.","Best Buy Co Inc",25504020,5731
"12",2019,8857,15591,13.5637,3479,256.494,3395,125,8060,1541,2865,0,43638,840,7923,84.69,"Best Buy Co., Inc. retails technology products in the United States, Canada, and Mexico. The company operates in two segments, Domestic and International.","Best Buy Co Inc",25504020,5731
"13",2010,834.128,2458.008,187512,187.512,0.001,1358.021,31.399,417.668,30.998,298.411,0,3701.089,70.422,1150.332,NA,"Burlington Coat Factory Warehouse Corporation operates as a retailer of branded apparel in the United States.","Burlington Coat Factory Investments Holdings Inc",25504010,5651
"14",2011,877.988,2501.143,-110945,-110.945,0.001,1605.464,28.729,505.287,-6.272,311.364,0,3887.531,77.595,1212.703,NA,"Burlington Coat Factory Warehouse Corporation operates as a retailer of branded apparel in the United States.","Burlington Coat Factory Investments Holdings Inc",25504010,5651
"15",2012,879.654,2478.082,-80269,-80.269,0.001,1335.532,27.789,740.055,25.301,316.206,0,4165.504,83.526,1319.174,NA,"Burlington Coat Factory Warehouse Corporation operates as a retailer of branded apparel in the United States.","Burlington Coat Factory Investments Holdings Inc",25504010,5651
"16",2013,1012.989,2613.936,-41695,-41.695,0.001,1301.012,30.095,856.356,43.75,363.857,0,4461.987,83.278,1391.755,NA,"Burlington Coat Factory Warehouse Corporation operates as a retailer of branded apparel in the United States.","Burlington Coat Factory Investments Holdings Inc",25504010,5651
"17",2011,56.729,84.645,3.9497,50.797,12.861,0,3.156,22.361,2.081,9.956,0,223.88,6.6,86.463,6.19,"Cache, Inc., together with its subsidiaries, operates as a mall-based and online woman's specialty retailer of apparel and accessories in the United States.","Cache Inc",25504010,5621
